libunibreak7:amd64	7.0-2
libunistring5:amd64	1.4.2-1
libusb-1.0-0:amd64	2:1.0.30-1
libusbmuxd-2.0-7:amd64	2.1.1-1+b1
libutf8proc3:amd64	2.11.3-2
libuuid1:amd64	2.42.2-2
libuv1t64:amd64	1.52.1-4
libv4l-0t64:amd64	1.32.0-5
libv4lconvert0t64:amd64	1.32.0-5
libva-drm2:amd64	2.24.1-2
libva-x11-2:amd64	2.24.1-2
libva2:amd64	2.24.1-2
libvdpau1:amd64	1.5-4+b1
libvidstab1.2:amd64	1.1.1-4
libvisual-0.4-0:amd64	0.4.2-5
libvo-aacenc0:amd64	0.1.3-3+b2
libvo-amrwbenc0:amd64	0.1.3-2+b3
libvorbis0a:amd64	1.3.7-3+b2
libvorbisenc2:amd64	1.3.7-3+b2
libvorbisfile3:amd64	1.3.7-3+b2
libvpl2	1:2.16.0-1
libvpx12:amd64	1.16.0-3
libvulkan1:amd64	1.4.341.0-1
libwacom-common	2.18.0-1
libwacom9:amd64	2.18.0-1
libwavpack1:amd64	5.9.0-2
libwayland-client0:amd64	1.26.0-1
libwayland-cursor0:amd64	1.26.0-1
libwayland-egl1:amd64	1.26.0-1
libwayland-server0:amd64	1.26.0-1
libwebp7:amd64	1.5.0-0.1+b2
libwebpmux3:amd64	1.5.0-0.1+b2
libwebrtc-audio-processing-1-3:amd64	1.3-3+b3
libwildmidi2:amd64	0.4.6-1+b2
libwireplumber-0.5-0:amd64	0.5.15-1
libwlroots-0.20:amd64	0.20.1-1
libx11-6:amd64	2:1.8.13-1
libx11-data	2:1.8.13-1
libx11-xcb1:amd64	2:1.8.13-1
libx264-165:amd64	2:0.165.3223+git20250910.0480cb0-1
libx265-216:amd64	4.2-3
libxau6:amd64	1:1.0.11-1+b2
libxaw7:amd64	2:1.0.16-1+b2
libxcb-composite0:amd64	1.17.0-2+b2
libxcb-cursor0:amd64	0.1.6-1
libxcb-damage0:amd64	1.17.0-2+b2
libxcb-dri3-0:amd64	1.17.0-2+b2
libxcb-errors0:amd64	1.0.1-4+b2
libxcb-ewmh2:amd64	0.4.2-1+b2
libxcb-glx0:amd64	1.17.0-2+b2
libxcb-icccm4:amd64	0.4.2-1+b2
libxcb-image0:amd64	0.4.0-2+b3
libxcb-keysyms1:amd64	0.4.1-1+b2
libxcb-present0:amd64	1.17.0-2+b2
libxcb-randr0:amd64	1.17.0-2+b2
